365	trescientos sesenta y cinco
1776	mil setecientos setenta y seis
5	cinco
7000000	siete millones
14	catorce
48	cuarenta y ocho
100000	cien mil
828	ochocientos veintiocho
1887	mil ochocientos ochenta y siete
160	ciento sesenta
8848	ocho mil ochocientos cuarenta y ocho
123	ciento veintitrés
15,000	quince mil
500,000	quinientos mil
1997	mil novecientos noventa y siete
3000	tres mil
185	ciento ochenta y cinco
15000	quince mil
500000	quinientos mil
75000	setenta y cinco mil
799	setecientos noventa y nueve
3	tres
9	nueve
100	cien
50	cincuenta
7	siete
25	veinticinco
400	cuatrocientos
3,500,000	tres millones quinientos mil
369	trescientos sesenta y nueve
5,500	cinco mil quinientos y 00/100
124,700,000	ciento veinticuatro millones setecientos mil
1,200	mil doscientos
2,100	dos mil cien
120	ciento veinte
101	ciento uno
5000	cinco mil
16000	dieciséis mil
28	veintiocho
10994	diez mil novecientos noventa y cuatro
21,000	veintiún mil
173,000	ciento setenta y tres mil
5,895	cinco mil ochocientos noventa y cinco
13,515,271	trece millones quinientos quince mil doscientos setenta y uno
42	cuarenta y dos
250,000	doscientos cincuenta mil
600	seiscientos
1,000	mil
6,500	seis mil quinientos
11,000	Once mil
29,029	veintinueve mil veintinueve
90	noventa
200,000	doscientos mil
4	cuatro
13	trece
2,500	dos mil quinientos
3,000	tres mil
1300	mil trescientos
102	ciento dos
300	trescientos
36	treinta y seis
12	doce
78	setenta y ocho
1,500,000	un millón quinientos mil
70	setenta
364	trescientos sesenta y cuatro
32	treinta y dos
1200	mil doscientos
20	veinte
1000000	un millón
2	dos
50,000	cincuenta mil
2300	dos mil trescientos
4202	cuatro mil doscientos dos
5500	cinco mil quinientos
3700	tres mil setecientos
45000	cuarenta y cinco mil
150000	ciento cincuenta mil
17500	diecisiete mil quinientos
65	sesenta y cinco
24	veinticuatro
2,500,000	dos millones quinientos mil
35,000	treinta y cinco mil
80	ochenta
72	setenta y dos
220	doscientos veinte
2000	dos mil
145	ciento cuarenta y cinco
24000	veinticuatro mil
120000	ciento veinte mil
16,000	dieciséis mil
1,500	mil quinientos
2,717	dos mil setecientos diecisiete
4,100	cuatro mil cien|cuatro mil ciento
195	ciento noventa y cinco
80,000	ochenta mil
10	diez
214	doscientos catorce
62,000	sesenta y dos mil
25,000	veinticinco mil
30	treinta
104	ciento cuatro
51,000	cincuenta y un mil
87,000	ochenta y siete mil
2,130	dos mil ciento treinta
17	diecisiete
75	setenta y cinco
632	seiscientos treinta y dos
45	cuarenta y cinco
27	veintisiete
118	ciento dieciocho
15	quince
10000	diez mil
500	quinientos
1,000,000	un millón
800	ochocientos
3,750,000	tres millones setecientos cincuenta mil
12,500	doce mil quinientos
100,000	cien mil
2,300,000	dos millones trescientos mil
344	trescientos cuarenta y cuatro
356	trescientos cincuenta y seis
576	quinientos setenta y seis
12,000	doce mil
235,000	doscientos treinta y cinco mil
660,253	seiscientos sesenta mil doscientos cincuenta y tres
18,462	dieciocho mil cuatrocientos sesenta y dos
60	sesenta
10,994	diez mil novecientos noventa y cuatro
70,000,000,000,000	setenta billones
324	trescientos veinticuatro
987	novecientos ochenta y siete
108	ciento ocho
4,375,000	cuatro millones trescientos setenta y cinco mil
22	veintidós
4000	cuatro mil
6000	seis mil
180	ciento ochenta
30000	treinta mil
14,786	catorce mil setecientos ochenta y seis
5,000	cinco mil
20,000	veinte mil
2,800	dos mil ochocientos
9,500	nueve mil quinientos
1889	mil ochocientos ochenta y nueve
5895	cinco mil ochocientos noventa y cinco
26	veintiséis
163	ciento sesenta y tres
364,000	trescientos sesenta y cuatro mil
130	ciento treinta
344,400	trescientos cuarenta y cuatro mil cuatrocientos
6,600	seis mil seiscientos
3,530	tres mil quinientos treinta
1,500,230	un millón quinientos mil doscientos treinta
8,848	ocho mil ochocientos cuarenta y ocho
297	doscientos noventa y siete
1063	mil sesenta y tres
150,000	ciento cincuenta mil
250	doscientos cincuenta
13,170	trece mil ciento setenta
4,217	cuatro mil doscientos diecisiete
200	doscientos
660,000	seiscientos sesenta mil
5024	cinco mil veinticuatro
446	cuatrocientos cuarenta y seis
1078	mil setenta y ocho
38	treinta y ocho
1377	mil trescientos setenta y siete
173	ciento setenta y tres
103	ciento tres
5,000,000	cinco millones
157	ciento cincuenta y siete
14,000,000	catorce millones
6,000	seis mil
56	cincuenta y seis
660	seiscientos sesenta
1500	mil quinientos
6	seis
2400	dos mil cuatrocientos
450	cuatrocientos cincuenta
88	ochenta y ocho
21	veintiuno
2,790	dos mil setecientos noventa
82	ochenta y dos
4500	cuatro mil quinientos
2900	dos mil novecientos
20000	veinte mil
50000	cincuenta mil
8000000	ocho millones
250000	doscientos cincuenta mil
206	doscientos seis
53	cincuenta y tres
660,430	seiscientos sesenta mil cuatrocientos treinta
272	doscientos setenta y dos
3,106	tres mil ciento seis
